Format,Year,Units,Revenue,Revenue (Inflation Adjusted)
8 - Track,1973,91000000,489000000,2699600000
8 - Track,1974,96700000,549200000,2730600000
8 - Track,1975,94600000,583000000,2656200000
8 - Track,1976,106100000,678200000,2921600000
8 - Track,1977,127300000,811000000,3280400000
8 - Track,1978,133600000,948000000,3564000000
8 - Track,1979,102300000,684300000,2310400000
8 - Track,1980,85000000,527000000,1567700000
8 - Track,1981,50000000,313000000,844000000
8 - Track,1982,13700000,36000000,91400000
8 - Track,1983,0,0,0
8 - Track,1984,0,0,0
8 - Track,1985,0,0,0
8 - Track,1986,0,0,0
8 - Track,1987,0,0,0
8 - Track,1988,0,0,0
8 - Track,1989,0,0,0
8 - Track,1990,0,0,0
8 - Track,1991,0,0,0
8 - Track,1992,0,0,0
8 - Track,1993,0,0,0
8 - Track,1994,0,0,0
8 - Track,1995,0,0,0
8 - Track,1996,0,0,0
8 - Track,1997,0,0,0
8 - Track,1998,0,0,0
8 - Track,1999,0,0,0
8 - Track,2000,0,0,0
8 - Track,2001,0,0,0
8 - Track,2002,0,0,0
8 - Track,2003,0,0,0
8 - Track,2004,0,0,0
8 - Track,2005,0,0,0
8 - Track,2006,0,0,0
8 - Track,2007,0,0,0
8 - Track,2008,0,0,0
8 - Track,2009,0,0,0
8 - Track,2010,0,0,0
8 - Track,2011,0,0,0
8 - Track,2012,0,0,0
8 - Track,2013,0,0,0
8 - Track,2014,0,0,0
8 - Track,2015,0,0,0
8 - Track,2016,0,0,0
8 - Track,2017,0,0,0
8 - Track,2018,0,0,0
Cassette,1973,15000000,76000000,419600000
Cassette,1974,15300000,87200000,433600000
Cassette,1975,16200000,98800000,450100000
Cassette,1976,21800000,145700000,627700000
Cassette,1977,36900000,249600000,1009600000
Cassette,1978,61300000,449800000,1691000000
Cassette,1979,78500000,580600000,1960300000
Cassette,1980,99000000,705000000,2097200000
Cassette,1981,124000000,1062800000,2865900000
Cassette,1982,183200000,1384500000,3516800000
Cassette,1983,236800000,1810900000,4456700000
Cassette,1984,332000000,2383900000,5624100000
Cassette,1985,339100000,2411500000,5493600000
Cassette,1986,344500000,2499500000,5590100000
Cassette,1987,410000000,2959700000,6386300000
Cassette,1988,450100000,3385100000,7014000000
Cassette,1989,446200000,3345800000,6613900000
Cassette,1990,442200000,3472400000,6512300000
Cassette,1991,360100000,3019600000,5434400000
Cassette,1992,366400000,3116300000,5444500000
Cassette,1993,339500000,2915800000,4946200000
Cassette,1994,345400000,2976400000,4922900000
Cassette,1995,272600000,2303600000,3705100000
Cassette,1996,225300000,1905300000,2976600000
Cassette,1997,172600000,1522700000,2325500000
Cassette,1998,158500000,1419900000,2135300000
Cassette,1999,123600000,1061600000,1561900000
Cassette,2000,76000000,626000000,891100000
Cassette,2001,45000000,363400000,503000000
Cassette,2002,31100000,209800000,285900000
Cassette,2003,17200000,108100000,144000000
Cassette,2004,5200000,23700000,30800000
Cassette,2005,2500000,13100000,16400000
Cassette,2006,700000,3700000,4500000
Cassette,2007,400000,3000000,3500000
Cassette,2008,100000,900000,1000000
Cassette,2009,0,0,0
Cassette,2010,0,0,0
Cassette,2011,0,0,0
Cassette,2012,0,0,0
Cassette,2013,0,0,0
Cassette,2014,0,0,0
Cassette,2015,0,0,0
Cassette,2016,0,0,0
Cassette,2017,0,0,0
Cassette,2018,0,0,0
Cassette Single,1973,0,0,0
Cassette Single,1974,0,0,0
Cassette Single,1975,0,0,0
Cassette Single,1976,0,0,0
Cassette Single,1977,0,0,0
Cassette Single,1978,0,0,0
Cassette Single,1979,0,0,0
Cassette Single,1980,0,0,0
Cassette Single,1981,0,0,0
Cassette Single,1982,0,0,0
Cassette Single,1983,0,0,0
Cassette Single,1984,0,0,0
Cassette Single,1985,0,0,0
Cassette Single,1986,0,0,0
Cassette Single,1987,5100000,14300000,30900000
Cassette Single,1988,22500000,57300000,118700000
Cassette Single,1989,76200000,194600000,384700000
Cassette Single,1990,87400000,257900000,483700000
Cassette Single,1991,69000000,230400000,414700000
Cassette Single,1992,84600000,298800000,522000000
Cassette Single,1993,85600000,298500000,506400000
Cassette Single,1994,81100000,274900000,454700000
Cassette Single,1995,70700000,236300000,380100000
Cassette Single,1996,59900000,189300000,295700000
Cassette Single,1997,42200000,133500000,203900000
Cassette Single,1998,26400000,94400000,142000000
Cassette Single,1999,14200000,48000000,70600000
Cassette Single,2000,1300000,4600000,6500000
Cassette Single,2001,-1500000,-5300000,-7300000
Cassette Single,2002,-500000,-1600000,-2200000
Cassette Single,2003,0,0,0
Cassette Single,2004,0,0,0
Cassette Single,2005,0,0,0
Cassette Single,2006,0,0,0
Cassette Single,2007,0,0,0
Cassette Single,2008,0,0,0
Cassette Single,2009,0,0,0
Cassette Single,2010,0,0,0
Cassette Single,2011,0,0,0
Cassette Single,2012,0,0,0
Cassette Single,2013,0,0,0
Cassette Single,2014,0,0,0
Cassette Single,2015,0,0,0
Cassette Single,2016,0,0,0
Cassette Single,2017,0,0,0
Cassette Single,2018,0,0,0
CD,1973,0,0,0
CD,1974,0,0,0
CD,1975,0,0,0
CD,1976,0,0,0
CD,1977,0,0,0
CD,1978,0,0,0
CD,1979,0,0,0
CD,1980,0,0,0
CD,1981,0,0,0
CD,1982,0,0,0
CD,1983,800000,17200000,42300000
CD,1984,5800000,103300000,243700000
CD,1985,22600000,389500000,887300000
CD,1986,53000000,930100000,2080200000
CD,1987,102100000,1593600000,3438600000
CD,1988,149700000,2089900000,4330300000
CD,1989,207200000,2587700000,5115300000
CD,1990,286500000,3451600000,6473300000
CD,1991,333300000,4337700000,7806600000
CD,1992,407500000,5326500000,9306000000
CD,1993,495400000,6511400000,11045500000
CD,1994,662100000,8464500000,14000100000
CD,1995,722900000,9377400000,15082600000
CD,1996,778900000,9934700000,15520700000
CD,1997,753100000,9915100000,15142600000
CD,1998,847000000,11416000000,17167400000
CD,1999,938900000,12816300000,18856700000
CD,2000,942500000,13214500000,18810300000
CD,2001,881900000,12909400000,17867600000
CD,2002,803300000,12044100000,16410500000
CD,2003,746000000,11232900000,14964200000
CD,2004,767000000,11446500000,14853200000
CD,2005,705400000,10520200000,13203800000
CD,2006,619700000,9372600000,11395900000
CD,2007,499700000,7452300000,8811900000
CD,2008,368400000,5471300000,6229000000
CD,2009,296600000,4318800000,4934500000
CD,2010,253000000,3389400000,3810100000
CD,2011,240800000,3100700000,3378900000
CD,2012,198200000,2485600000,2718500000
CD,2013,173800000,2140900000,2307700000
CD,2014,138700000,1776200000,1884100000
CD,2015,117100000,1445000000,1530900000
CD,2016,97600000,1130800000,1183100000
CD,2017,87700000,1057300000,1083100000
CD,2018,52000000,698400000,698400000
CD Single,1973,0,0,0
CD Single,1974,0,0,0
CD Single,1975,0,0,0
CD Single,1976,0,0,0
CD Single,1977,0,0,0
CD Single,1978,0,0,0
CD Single,1979,0,0,0
CD Single,1980,0,0,0
CD Single,1981,0,0,0
CD Single,1982,0,0,0
CD Single,1983,0,0,0
CD Single,1984,0,0,0
CD Single,1985,0,0,0
CD Single,1986,0,0,0
CD Single,1987,0,0,0
CD Single,1988,1600000,9800000,20300000
CD Single,1989,-100000,-700000,-1400000
CD Single,1990,1100000,6000000,11300000
CD Single,1991,5700000,35100000,63200000
CD Single,1992,7300000,45100000,78800000
CD Single,1993,7800000,45800000,77700000
CD Single,1994,9300000,56100000,92800000
CD Single,1995,21500000,110900000,178400000
CD Single,1996,43200000,184100000,287600000
CD Single,1997,66700000,272700000,416500000
CD Single,1998,56000000,213200000,320600000
CD Single,1999,55900000,222400000,327200000
CD Single,2000,34200000,142700000,203100000
CD Single,2001,17300000,79400000,109900000
CD Single,2002,4500000,19600000,26700000
CD Single,2003,8300000,36000000,48000000
CD Single,2004,3100000,15000000,19500000
CD Single,2005,2800000,10900000,13700000
CD Single,2006,1700000,7700000,9400000
CD Single,2007,2600000,12200000,14400000
CD Single,2008,700000,3500000,4000000
CD Single,2009,900000,3100000,3500000
CD Single,2010,1000000,2900000,3300000
CD Single,2011,1300000,3500000,3800000
CD Single,2012,1100000,3200000,3500000
CD Single,2013,600000,2400000,2600000
CD Single,2014,900000,3600000,3800000
CD Single,2015,400000,1200000,1300000
CD Single,2016,100000,300000,300000
CD Single,2017,100000,1500000,1500000
CD Single,2018,0,200000,200000
Download Album,1973,0,0,0
Download Album,1974,0,0,0
Download Album,1975,0,0,0
Download Album,1976,0,0,0
Download Album,1977,0,0,0
Download Album,1978,0,0,0
Download Album,1979,0,0,0
Download Album,1980,0,0,0
Download Album,1981,0,0,0
Download Album,1982,0,0,0
Download Album,1983,0,0,0
Download Album,1984,0,0,0
Download Album,1985,0,0,0
Download Album,1986,0,0,0
Download Album,1987,0,0,0
Download Album,1988,0,0,0
Download Album,1989,0,0,0
Download Album,1990,0,0,0
Download Album,1991,0,0,0
Download Album,1992,0,0,0
Download Album,1993,0,0,0
Download Album,1994,0,0,0
Download Album,1995,0,0,0
Download Album,1996,0,0,0
Download Album,1997,0,0,0
Download Album,1998,0,0,0
Download Album,1999,0,0,0
Download Album,2000,0,0,0
Download Album,2001,0,0,0
Download Album,2002,0,0,0
Download Album,2003,0,0,0
Download Album,2004,4600000,45500000,59000000
Download Album,2005,13600000,135700000,170300000
Download Album,2006,27600000,275900000,335500000
Download Album,2007,49800000,497400000,588100000
Download Album,2008,63600000,635300000,723300000
Download Album,2009,74500000,744300000,850400000
Download Album,2010,85800000,872400000,980700000
Download Album,2011,103900000,1070800000,1166900000
Download Album,2012,116700000,1204800000,1317700000
Download Album,2013,118000000,1232100000,1328100000
Download Album,2014,114200000,1117900000,1185800000
Download Album,2015,106800000,1064400000,1127700000
Download Album,2016,85100000,868600000,908800000
Download Album,2017,66400000,668500000,684800000
Download Album,2018,49700000,499700000,499700000
Download Music Video,1973,0,0,0
Download Music Video,1974,0,0,0
Download Music Video,1975,0,0,0
Download Music Video,1976,0,0,0
Download Music Video,1977,0,0,0
Download Music Video,1978,0,0,0
Download Music Video,1979,0,0,0
Download Music Video,1980,0,0,0
Download Music Video,1981,0,0,0
Download Music Video,1982,0,0,0
Download Music Video,1983,0,0,0
Download Music Video,1984,0,0,0
Download Music Video,1985,0,0,0
Download Music Video,1986,0,0,0
Download Music Video,1987,0,0,0
Download Music Video,1988,0,0,0
Download Music Video,1989,0,0,0
Download Music Video,1990,0,0,0
Download Music Video,1991,0,0,0
Download Music Video,1992,0,0,0
Download Music Video,1993,0,0,0
Download Music Video,1994,0,0,0
Download Music Video,1995,0,0,0
Download Music Video,1996,0,0,0
Download Music Video,1997,0,0,0
Download Music Video,1998,0,0,0
Download Music Video,1999,0,0,0
Download Music Video,2000,0,0,0
Download Music Video,2001,0,0,0
Download Music Video,2002,0,0,0
Download Music Video,2003,0,0,0
Download Music Video,2004,0,0,0
Download Music Video,2005,1900000,3700000,4600000
Download Music Video,2006,9900000,19700000,24000000
Download Music Video,2007,14200000,28200000,33300000
Download Music Video,2008,20800000,41300000,47000000
Download Music Video,2009,20500000,40900000,46700000
Download Music Video,2010,18400000,36600000,41100000
Download Music Video,2011,16300000,32400000,35300000
Download Music Video,2012,10500000,20800000,22800000
Download Music Video,2013,8400000,16700000,18000000
Download Music Video,2014,6800000,13600000,14400000
Download Music Video,2015,3200000,6400000,6800000
Download Music Video,2016,2100000,4300000,4500000
Download Music Video,2017,1400000,2800000,2900000
Download Music Video,2018,1100000,2200000,2200000
Download Single,1973,0,0,0
Download Single,1974,0,0,0
Download Single,1975,0,0,0
Download Single,1976,0,0,0
Download Single,1977,0,0,0
Download Single,1978,0,0,0
Download Single,1979,0,0,0
Download Single,1980,0,0,0
Download Single,1981,0,0,0
Download Single,1982,0,0,0
Download Single,1983,0,0,0
Download Single,1984,0,0,0
Download Single,1985,0,0,0
Download Single,1986,0,0,0
Download Single,1987,0,0,0
Download Single,1988,0,0,0
Download Single,1989,0,0,0
Download Single,1990,0,0,0
Download Single,1991,0,0,0
Download Single,1992,0,0,0
Download Single,1993,0,0,0
Download Single,1994,0,0,0
Download Single,1995,0,0,0
Download Single,1996,0,0,0
Download Single,1997,0,0,0
Download Single,1998,0,0,0
Download Single,1999,0,0,0
Download Single,2000,0,0,0
Download Single,2001,0,0,0
Download Single,2002,0,0,0
Download Single,2003,0,0,0
Download Single,2004,139400000,138000000,179100000
Download Single,2005,366900000,363300000,456000000
Download Single,2006,586400000,580600000,705900000
Download Single,2007,819400000,811000000,959000000
Download Single,2008,1042700000,1032200000,1175100000
Download Single,2009,1124400000,1172000000,1339100000
Download Single,2010,1177400000,1336400000,1502300000
Download Single,2011,1332300000,1522400000,1659000000
Download Single,2012,1402700000,1644600000,1798700000
Download Single,2013,1332800000,1573400000,1696000000
Download Single,2014,1154400000,1355300000,1437600000
Download Single,2015,986300000,1185200000,1255700000
Download Single,2016,743000000,900200000,941800000
Download Single,2017,553500000,678500000,695100000
Download Single,2018,399800000,490400000,490400000
DVD Audio,1973,0,0,0
DVD Audio,1974,0,0,0
DVD Audio,1975,0,0,0
DVD Audio,1976,0,0,0
DVD Audio,1977,0,0,0
DVD Audio,1978,0,0,0
DVD Audio,1979,0,0,0
DVD Audio,1980,0,0,0
DVD Audio,1981,0,0,0
DVD Audio,1982,0,0,0
DVD Audio,1983,0,0,0
DVD Audio,1984,0,0,0
DVD Audio,1985,0,0,0
DVD Audio,1986,0,0,0
DVD Audio,1987,0,0,0
DVD Audio,1988,0,0,0
DVD Audio,1989,0,0,0
DVD Audio,1990,0,0,0
DVD Audio,1991,0,0,0
DVD Audio,1992,0,0,0
DVD Audio,1993,0,0,0
DVD Audio,1994,0,0,0
DVD Audio,1995,0,0,0
DVD Audio,1996,0,0,0
DVD Audio,1997,0,0,0
DVD Audio,1998,0,0,0
DVD Audio,1999,0,0,0
DVD Audio,2000,0,0,0
DVD Audio,2001,263000,6000000,8300000
DVD Audio,2002,430000,8500000,11600000
DVD Audio,2003,400000,8000000,10700000
DVD Audio,2004,300000,6500000,8400000
DVD Audio,2005,500000,11200000,14100000
DVD Audio,2006,100000,2400000,2900000
DVD Audio,2007,200000,2800000,3300000
DVD Audio,2008,40000,1200000,1400000
DVD Audio,2009,100000,1600000,1800000
DVD Audio,2010,40000,900000,1000000
DVD Audio,2011,10000,300000,300000
DVD Audio,2012,0,200000,200000
DVD Audio,2013,-100000,-500000,-500000
DVD Audio,2014,100000,2100000,2300000
DVD Audio,2015,200000,5400000,5700000
DVD Audio,2016,100000,2800000,3000000
DVD Audio,2017,100000,2600000,2700000
DVD Audio,2018,100000,3300000,3300000
Kiosk,1973,0,0,0
Kiosk,1974,0,0,0
Kiosk,1975,0,0,0
Kiosk,1976,0,0,0
Kiosk,1977,0,0,0
Kiosk,1978,0,0,0
Kiosk,1979,0,0,0
Kiosk,1980,0,0,0
Kiosk,1981,0,0,0
Kiosk,1982,0,0,0
Kiosk,1983,0,0,0
Kiosk,1984,0,0,0
Kiosk,1985,0,0,0
Kiosk,1986,0,0,0
Kiosk,1987,0,0,0
Kiosk,1988,0,0,0
Kiosk,1989,0,0,0
Kiosk,1990,0,0,0
Kiosk,1991,0,0,0
Kiosk,1992,0,0,0
Kiosk,1993,0,0,0
Kiosk,1994,0,0,0
Kiosk,1995,0,0,0
Kiosk,1996,0,0,0
Kiosk,1997,0,0,0
Kiosk,1998,0,0,0
Kiosk,1999,0,0,0
Kiosk,2000,0,0,0
Kiosk,2001,0,0,0
Kiosk,2002,0,0,0
Kiosk,2003,0,0,0
Kiosk,2004,0,0,0
